date,NSW,VIC,QLD,WA,SA,TAS,ACT,NT
2022-01-08,,26428,,,,1172,,172
2022-01-09,,22051,4320,,,808,,181
2022-01-10,,17190,3714,,,821,,112
2022-01-11,,18503,4186,,,1015,,303
2022-01-12,,18434,3985,,,847,,155
2022-01-13,61387,16843,2812,,,847,,214
2022-01-14,25080,15440,10182,,1747,852,1418,296
2022-01-15,21748,12857,6087,,1242,884,691,134
2022-01-16,13682,10337,4615,,1049,580,600,131
2022-01-17,11858,10370,4575,,969,727,723,149
2022-01-18,13763,11722,5984,,822,950,884,534
2022-01-19,12450,10569,5940,,1171,714,813,355
2022-01-20,13178,9772,5572,,914,634,638,364
2022-01-21,10015,8141,4809,,770,555,567,357
2022-01-22,8566,7584,4354,,580,475,442,219
2022-01-23,6704,6466,3308,,253,386,309,155
2022-01-24,6901,7207,3615,,540,449,284,238
2022-01-25,9090,8539,3845,,591,489,358,430
2022-01-26,8112,6974,4557,,475,506,296,310
