Date,NSW,VIC,QLD,WA,SA,TAS,ACT,NT
2020-01-25,,,,,,,0,
2020-01-26,,,,,,,0,
2020-01-27,,,,,,,0,
2020-01-28,,,,,,,0,
2020-01-29,,,,,,,0,
2020-01-30,,,,,,,0,
2020-01-31,,,,,,,0,
2020-02-01,,,,,,,0,
2020-02-02,,,,,,,0,
2020-02-03,,,,,,,0,
2020-02-04,,,,,,,0,
2020-02-05,,,,,,,0,
2020-02-06,,,,,,,0,
2020-02-07,,,,,,,0,
2020-02-08,,,,,,,0,
2020-02-09,,,,,,,0,
2020-02-10,,,,,,,0,
2020-02-11,,,,,,,0,
2020-02-12,,,,,,,0,
2020-02-13,,,,,,,0,
2020-02-14,,,,,,,0,
2020-02-15,,,,,,,0,
2020-02-16,,,,,,,0,
2020-02-17,,,,,,,0,
2020-02-18,,,,,,,0,
2020-02-19,,,,,,,0,
2020-02-20,,,,,,,0,
2020-02-21,,,,,,,0,
2020-02-22,,,,,,,0,
2020-02-23,,,,,,,0,
2020-02-24,,,,,,,0,
2020-02-25,,,,,,,0,
2020-02-26,,,,,,,0,
2020-02-27,,,,,,,0,
2020-02-28,,,,,,,0,
2020-02-29,,,,,,,0,
2020-03-01,,,,,,,0,
2020-03-02,,,,,,,0,
2020-03-03,,,,,,,0,
2020-03-04,,,,,,,0,
2020-03-05,,,,,,,0,
2020-03-06,,,,,,,0,
2020-03-07,,,,,,,0,
2020-03-08,,,,,,,0,
2020-03-09,,,,,,,0,
2020-03-10,,,,,,,0,
2020-03-11,,,,,,,0,
2020-03-12,,,,,,,0,
2020-03-13,,,,,,,0,
2020-03-14,,,,,,,0,
2020-03-15,,,,,,1,0,
2020-03-16,,,,,,,0,
2020-03-17,,,,,,,0,
2020-03-18,,,,,,3,0,
2020-03-19,,28,,,,3,0,
2020-03-20,,39,,,,3,0,
2020-03-21,,51,,,,3,0,
2020-03-22,,70,,,,3,0,
2020-03-23,,97,,6,,3,0,
2020-03-24,,113,,6,,3,0,
2020-03-25,,128,,6,,4,0,
2020-03-26,,149,,23,,,1,
2020-03-27,,171,,28,,5,2,
2020-03-28,,191,,28,,,2,
2020-03-29,,193,,28,,,2,
2020-03-30,,248,,41,,,2,
2020-03-31,,291,,48,,10,3,
2020-04-01,,344,,64,,11,8,1
2020-04-02,,422,,92,44,13,11,1
2020-04-03,,476,,92,46,15,18,1
2020-04-04,,526,,92,46,,18,1
2020-04-05,,573,,148,51,26,28,2
2020-04-06,,619,,162,53,29,40,2
2020-04-07,,686,,170,89,34,42,2
2020-04-08,,736,,170,120,34,47,2
2020-04-09,,806,372,187,167,48,54,2
2020-04-10,,926,368,203,179,,59,2
2020-04-11,,986,368,216,225,52,62,2
2020-04-12,,1015,368,239,239,53,67,2
2020-04-13,,1075,442,251,240,57,73,6
2020-04-14,,1118,442,296,253,57,75,6
2020-04-15,,1137,442,338,279,57,77,6
2020-04-16,,1137,442,340,308,67,79,6
2020-04-17,,1159,442,377,331,66,81,9
2020-04-18,,1171,738,388,346,68,88,9
2020-04-19,,1188,738,426,354,,89,11
2020-04-20,,1196,738,435,363,71,91,12
2020-04-21,1755,1202,738,443,376,74,92,15
2020-04-22,1926,1243,738,451,388,77,93,16
2020-04-23,2006,1251,738,458,394,91,93,16
2020-04-24,2164,1254,738,464,401,106,97,20
2020-04-25,2193,1262,803,478,402,117,98,20
2020-04-26,2208,1265,926,486,411,123,99,23
2020-04-27,2227,1280,926,486,418,132,100,23
2020-04-28,2243,1279,934,495,420,135,101,23
2020-04-29,2226,1287,934,500,420,137,101,25
2020-04-30,2284,1291,943,507,420,144,103,25
2020-05-01,2294,1293,948,511,422,153,103,25
2020-05-02,2300,1300,965,520,423,157,103,25
2020-05-03,2306,1300,976,523,427,158,103,25
