date,overseas,at_sea,interstate,local_contact,local_unknown,under_investigation
2020-01-23,0,0,0,0,0,0
2020-01-24,0,0,0,0,0,0
2020-01-25,0,0,0,0,0,0
2020-01-26,0,0,0,0,0,0
2020-01-27,0,0,0,0,0,0
2020-01-28,0,0,0,0,0,0
2020-01-29,0,0,0,0,0,0
2020-01-30,0,0,0,0,0,0
2020-01-31,0,0,0,0,0,0
2020-02-01,0,0,0,0,0,0
2020-02-02,0,0,0,0,0,0
2020-02-03,0,0,0,0,0,0
2020-02-04,0,0,0,0,0,0
2020-02-05,0,0,0,0,0,0
2020-02-06,0,0,0,0,0,0
2020-02-07,0,0,0,0,0,0
2020-02-08,0,0,0,0,0,0
2020-02-09,0,0,0,0,0,0
2020-02-10,0,0,0,0,0,0
2020-02-11,0,0,0,0,0,0
2020-02-12,0,0,0,0,0,0
2020-02-13,0,0,0,0,0,0
2020-02-14,0,0,0,0,0,0
2020-02-15,0,0,0,0,0,0
2020-02-16,1,0,0,0,0,0
2020-02-17,2,0,0,0,0,0
2020-02-18,2,0,0,0,0,0
2020-02-19,2,0,0,0,0,0
2020-02-20,2,1,0,0,0,0
2020-02-21,2,1,0,0,0,0
2020-02-22,2,1,0,0,0,0
2020-02-23,2,1,0,0,0,0
2020-02-24,2,1,0,0,0,0
2020-02-25,2,1,0,0,0,0
2020-02-26,2,1,0,0,0,0
2020-02-27,2,2,0,0,0,0
2020-02-28,2,2,0,0,0,0
2020-02-29,2,2,0,0,0,0
2020-03-01,2,2,0,0,0,0
2020-03-02,2,2,0,1,0,0
2020-03-03,3,2,0,1,0,0
2020-03-04,4,2,0,2,0,0
2020-03-05,5,2,0,2,0,0
2020-03-06,8,2,0,2,1,0
2020-03-07,9,3,0,2,1,0
2020-03-08,10,3,0,2,1,0
2020-03-09,13,3,0,2,1,0
2020-03-10,18,4,0,2,1,0
2020-03-11,23,5,0,2,1,0
2020-03-12,33,7,0,2,1,0
2020-03-13,40,7,0,2,1,0
2020-03-14,43,10,0,2,1,0
2020-03-15,53,14,0,2,2,0
2020-03-16,63,14,0,2,3,0
2020-03-17,78,19,0,3,3,0
2020-03-18,95,28,0,9,3,0
2020-03-19,113,36,1,9,4,0
2020-03-20,136,58,2,13,5,0
2020-03-21,155,75,2,18,5,0
2020-03-22,163,86,2,23,6,0
2020-03-23,174,93,3,28,9,0
2020-03-24,189,110,3,30,10,0
2020-03-25,199,117,3,33,13,0
2020-03-26,210,132,4,37,13,0
2020-03-27,219,144,5,39,14,0
2020-03-28,223,150,6,41,14,0
2020-03-29,227,152,6,44,14,0
2020-03-30,229,156,6,46,14,0
2020-03-31,233,161,7,47,14,0
2020-04-01,235,172,7,50,14,0
2020-04-02,237,178,7,52,14,0
2020-04-03,237,185,7,54,15,0
2020-04-04,238,189,7,55,15,0
2020-04-05,239,194,7,55,15,0
2020-04-06,240,197,7,56,15,0
2020-04-07,240,203,7,56,15,0
2020-04-08,240,207,7,57,15,0
2020-04-09,241,214,7,57,15,0
2020-04-10,241,216,7,57,15,0
2020-04-11,241,218,7,57,15,0
2020-04-12,241,220,7,58,15,0
2020-04-13,241,220,7,60,15,0
2020-04-14,242,221,7,60,15,0
2020-04-15,242,222,7,60,15,0
2020-04-16,243,223,7,62,15,0
2020-04-17,243,223,7,62,15,0
2020-04-18,243,223,7,62,15,0
2020-04-19,243,223,7,62,15,0
2020-04-20,243,223,7,62,15,0
2020-04-21,243,223,7,62,15,0
2020-04-22,243,223,7,62,15,0
2020-04-23,243,223,7,62,15,0
2020-04-24,243,223,7,63,15,0
2020-04-25,243,223,7,63,15,0
2020-04-26,244,223,7,63,15,0
2020-04-27,244,223,7,63,15,0
2020-04-28,244,223,7,63,15,0
2020-04-29,244,223,7,63,15,0
2020-04-30,244,223,7,63,15,0
2020-05-01,244,223,7,63,15,0
